"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30017246",6.97295133680801e-41,0.296661833574233,0.124,0.029,1.92899725781457e-36,"Secretory","SMED30017246"
"SMED30015310.6",8.02849664273731e-41,-2.73119461865207,0.028,0.23,2.22100331124685e-36,"Secretory","SMED30015310"
"SMED30001601.6",9.78002407689393e-41,-0.991076669180554,0.029,0.233,2.70554586063194e-36,"Secretory","SMED30001601"
"SMED30030833.1",1.33603262116656e-40,0.328161030654057,0.106,0.022,3.69600064319516e-36,"Secretory","SMED30030833"
"SMED30018987.7",1.63283837937372e-40,-0.68430069417017,0.038,0.247,4.51708409269947e-36,"Secretory","SMED30018987"
"SMED30004304.7",2.12412567956374e-40,-0.773199311443191,0.077,0.304,5.87618127994513e-36,"Secretory","SMED30004304"
"SMED30014394.7",2.38851786629637e-40,-0.678708554115963,0.049,0.265,6.60759582532229e-36,"Secretory","SMED30014394"
"SMED30030946.7",4.21003787469387e-40,-0.791235292427005,0.064,0.281,1.16466487765531e-35,"Secretory","SMED30030946"
"SMED30006464.4",4.86278302262767e-40,-1.39910912206843,0.039,0.243,1.34524029537972e-35,"Secretory","SMED30006464"
"SMED30017290",5.83785626061897e-40,0.374823333444409,0.121,0.029,1.61498455593763e-35,"Secretory","SMED30017290"
"SMED30012458.7",1.25626831902817e-39,-0.738831961422696,0.064,0.276,3.47534067775952e-35,"Secretory","SMED30012458"
"SMED30010101.5",2.16886591907663e-39,0.766297521931921,0.678,0.55,5.9999506785336e-35,"Secretory","SMED30010101"
"SMED30030234.7",3.28158714678004e-39,-1.10255103199017,0.309,0.504,9.07818268285231e-35,"Secretory","SMED30030234"
"SMED30001663.4",3.58342835079184e-39,-0.660176563172275,0.21,0.464,9.91319618963056e-35,"Secretory","SMED30001663"
"SMED30031575.1",3.89031120712623e-39,0.389108565733842,0.128,0.032,1.0762156923394e-34,"Secretory","SMED30031575"
"SMED30026367.5",4.06232127156307e-39,-0.721647124423436,0.388,0.595,1.12380055656521e-34,"Secretory","SMED30026367"
"SMED30017845.6",4.92938327976174e-39,-0.793969546163417,0.085,0.309,1.36366459051329e-34,"Secretory","SMED30017845"
"SMED30002877.6",5.11233786841536e-39,-0.667555232724634,0.026,0.224,1.41427714791843e-34,"Secretory","SMED30002877"
"SMED30012935.3",1.63184383131203e-38,0.540181651582,0.286,0.125,4.51433277494161e-34,"Secretory","SMED30012935"
