"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30033243.2",7.24479268975442e-79,-0.512214679371925,0.04,0.279,2.00419944969366e-74,"Neuronal","SMED30033243"
"SMED30020257.3",8.04860356592092e-79,1.14618894833432,0.579,0.448,2.22656569047636e-74,"Neuronal","SMED30020257"
"SMED30026079.1",8.41841701612676e-79,-0.448540555777304,0.112,0.402,2.32887088334131e-74,"Neuronal","SMED30026079"
"SMED30010906.4",9.23186390286632e-79,-0.595665092515452,0.095,0.366,2.55390283008894e-74,"Neuronal","SMED30010906"
"SMED30033565.4",9.55003490177358e-79,-0.99453674568517,0.109,0.365,2.64192165522664e-74,"Neuronal","SMED30033565"
"SMED30003316.1",1.41585694109895e-78,-0.464355388758806,0.157,0.47,3.91682664185614e-74,"Neuronal","SMED30003316"
"SMED30024109",1.78448424595777e-78,0.594161946347358,0.12,0.02,4.93659721801758e-74,"Neuronal","SMED30024109"
"SMED30012293.4",1.86387279905058e-78,-0.811652383605555,0.381,0.663,5.15621771129352e-74,"Neuronal","SMED30012293"
"SMED30010208.2",2.25752558398596e-78,-0.556665635556641,0.086,0.351,6.24521877553875e-74,"Neuronal","SMED30010208"
"SMED30002780.2",2.27914846718944e-78,-0.478401254350497,0.055,0.304,6.30503631963286e-74,"Neuronal","SMED30002780"
"SMED30031888.2",2.73262974968269e-78,-0.486568879617642,0.173,0.499,7.5595469395222e-74,"Neuronal","SMED30031888"
"SMED30004640.3",2.84995293076732e-78,-0.504900476389448,0.185,0.509,7.88410978767471e-74,"Neuronal","SMED30004640"
"SMED30016341.4",3.11734199178547e-78,0.975910861163836,0.23,0.076,8.62381488607533e-74,"Neuronal","SMED30016341"
"SMED30015595.4",3.23636953298919e-78,1.05090235342888,0.239,0.081,8.9530926760613e-74,"Neuronal","SMED30015595"
