"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30026612",4.85481097555474e-10,-0.701400322521975,0.337,0.236,1.34303490827746e-05,"AP-6","SMED30026612"
"SMED30011419.3",5.17620916738257e-10,-0.433337478196737,0.75,0.637,1.43194650406471e-05,"AP-6","SMED30011419"
"SMED30022658.3",5.41211874877149e-10,-0.27340750630262,0.782,0.67,1.49720853066015e-05,"AP-6","SMED30022658"
"SMED30029247.2",6.96956569942024e-10,-0.739036481694522,0.321,0.225,1.92806065508761e-05,"AP-6","SMED30029247"
"SMED30014876.3",8.99717870230807e-10,-0.465096461437187,0.806,0.702,2.4889795162065e-05,"AP-6","SMED30014876"
"SMED30018899.2",1.09457428961375e-09,-0.402131151439357,0.967,0.9,3.02803031478749e-05,"AP-6","SMED30018899"
"SMED30017461.2",1.17391743623975e-09,-0.282667696066537,0.901,0.805,3.24752519561366e-05,"AP-6","SMED30017461"
"SMED30030027.3",1.71819019645532e-09,-0.347890689306926,0.871,0.768,4.75320135947401e-05,"AP-6","SMED30030027"
"SMED30029767.1",2.34785864249143e-09,-0.349155565996213,0.361,0.268,6.4951161485883e-05,"AP-6","SMED30029767"
"SMED30028629.5",2.82686018769184e-09,-1.31829429522775,0.581,0.426,7.82022602323072e-05,"AP-6","SMED30028629"
"SMED30022596.2",6.54911423237607e-09,-0.282960617316355,0.983,0.929,0.000181174696124452,"AP-6","SMED30022596"
"SMED30027156.1",6.61586068708948e-09,-0.291264419338849,0.411,0.304,0.000183021170047643,"AP-6","SMED30027156"
"SMED30030799.3",7.37376749052345e-09,-0.494520335701305,0.988,0.95,0.000203987903857841,"AP-6","SMED30030799"
"SMED30018614.5",7.6390911635311e-09,-2.07375132065077,0.644,0.504,0.000211327817947924,"AP-6","SMED30018614"
"SMED30009513.1",9.11889469781796e-09,-0.347198653232289,0.486,0.367,0.000252265102920436,"AP-6","SMED30009513"
"SMED30035215.2",1.2910118507474e-08,-0.285114446640735,0.996,0.962,0.000357145518390761,"AP-6","SMED30035215"
"SMED30003010.4",1.33602131002898e-08,-0.492166023605964,0.438,0.326,0.000369596935206418,"AP-6","SMED30003010"
"SMED30019187.2",1.56814377379247e-08,-1.1634097553737,0.464,0.352,0.000433811293581948,"AP-6","SMED30019187"
"SMED30017545.4",1.61710365164472e-08,-0.447704526489206,0.119,0.17,0.000447355554190994,"AP-6","SMED30017545"
"SMED30026542.5",2.03719071676829e-08,-0.903042993754619,0.369,0.27,0.00056356843988678,"AP-6","SMED30026542"
"SMED30034265.5",2.41421107568416e-08,-0.381897776327153,0.539,0.416,0.000667867351977267,"AP-6","SMED30034265"
"SMED30014699.5",2.83233362942993e-08,-0.724542606798107,0.118,0.168,0.000783536775245497,"AP-6","SMED30014699"
"SMED30033786.5",3.02253359503293e-08,-0.859107993322053,0.499,0.359,0.000836153693729911,"AP-6","SMED30033786"
"SMED30020726.4",3.22760604803287e-08,-0.564814527981874,0.607,0.493,0.000892884937127813,"AP-6","SMED30020726"
"SMED30029626.3",4.6004120099001e-08,-0.318348913673152,0.912,0.825,0.00127265797841876,"AP-6","SMED30029626"
"SMED30030681.2",4.65627639455475e-08,-0.511813202420471,0.495,0.374,0.00128811230178963,"AP-6","SMED30030681"
"SMED30015310.2",4.73574911322919e-08,-0.319466300477552,0.998,0.973,0.00131009763468372,"AP-6","SMED30015310"
"SMED30021545.4",5.14130182596405e-08,-0.415929452307924,0.999,0.992,0.00142228973713469,"AP-6","SMED30021545"
"SMED30026394",6.0636360864415e-08,-0.464063540309943,0.51,0.395,0.00167744428695318,"AP-6","SMED30026394"
"SMED30032378.5",7.06754339357608e-08,-1.43628167339433,0.627,0.47,0.00195516520439889,"AP-6","SMED30032378"
"SMED30014713.1",7.18391313074495e-08,-0.276293139720157,0.403,0.301,0.00198735772848928,"AP-6","SMED30014713"
"SMED30022309.5",1.00029124372121e-07,-1.30044917049975,0.673,0.508,0.00276720569663037,"AP-6","SMED30022309"
"SMED30024204.3",2.29975958956922e-07,-0.443858873084852,0.978,0.922,0.0063620549285843,"AP-6","SMED30024204"
"SMED30014558.3",2.36386485786272e-07,-0.305575537039568,0.994,0.949,0.00653939574279142,"AP-6","SMED30014558"
"SMED30025454.3",2.40164878877559e-07,-0.729802553249148,0.44,0.351,0.00664392120926878,"AP-6","SMED30025454"
"SMED30000967.2",2.83117990171627e-07,-0.332392228924763,0.996,0.967,0.0078321760801079,"AP-6","SMED30000967"
"SMED30000746.1",3.03234330061279e-07,-0.62433093679792,0.499,0.383,0.00838867450681522,"AP-6","SMED30000746"
"SMED30004606",3.32030066528926e-07,-0.270603678015646,0.703,0.669,0.00918527976045621,"AP-6","SMED30004606"
"SMED30015362.1",4.42374735417957e-07,-0.700986889613202,0.731,0.626,0.0122378546806024,"AP-6","SMED30015362"
"SMED30017355.5",5.95054325084922e-07,-1.71912633988625,0.49,0.381,0.0164615828491493,"AP-6","SMED30017355"
