"","p_val","avg_log2FC","pct.1","pct.2","p_val_adj","cluster","gene"
"SMED30034479.1",1.54280093275722e-19,-0.389117283532241,0.072,0.189,4.26800450037958e-15,"AP-3","SMED30034479"
"SMED30005322",2.1202359523494e-19,-0.276836091289068,0.515,0.616,5.86542073857937e-15,"AP-3","SMED30005322"
"SMED30031724",2.31029323851274e-19,0.253389687651407,0.442,0.317,6.39119521502163e-15,"AP-3","SMED30031724"
"SMED30028175",2.68271872612305e-19,0.28991870538384,0.44,0.318,7.42147308394682e-15,"AP-3","SMED30028175"
"SMED30018485.1",3.95307496556668e-19,0.384157887514543,0.511,0.393,1.09357865847437e-14,"AP-3","SMED30018485"
"SMED30020044",3.98596397574732e-19,0.3191317384872,0.462,0.344,1.10267707425074e-14,"AP-3","SMED30020044"
"SMED30015642",5.01901335512603e-19,-0.455158862172309,0.687,0.751,1.38845985456207e-14,"AP-3","SMED30015642"
"SMED30024486",5.41036253044118e-19,0.495872440945953,0.649,0.553,1.49672269042125e-14,"AP-3","SMED30024486"
"SMED30008913.1",5.80628825751324e-19,0.36710379585905,0.553,0.439,1.60625158355846e-14,"AP-3","SMED30008913"
"SMED30007114",6.18976427876388e-19,0.323436746813853,0.521,0.4,1.71233639007724e-14,"AP-3","SMED30007114"
"SMED30024367.1",6.90544116992407e-19,-0.538528832301854,0.582,0.671,1.91032124524779e-14,"AP-3","SMED30024367"
"SMED30013762",1.24086118204363e-18,0.391253021455686,0.521,0.405,3.4327183740055e-14,"AP-3","SMED30013762"
"SMED30011028.1",1.2951216769794e-18,0.508477286429569,0.574,0.466,3.58282460719582e-14,"AP-3","SMED30011028"
"SMED30006697",1.91133316946659e-18,0.393031115912591,0.479,0.368,5.28751208001238e-14,"AP-3","SMED30006697"
"SMED30005608",2.10427924461187e-18,0.297321072826317,0.428,0.308,5.82127810229428e-14,"AP-3","SMED30005608"
"SMED30028642",2.68975941942913e-18,-0.26856433514598,0.114,0.24,7.44095045790873e-14,"AP-3","SMED30028642"
"SMED30025824",4.03627158700509e-18,0.289326812684033,0.414,0.296,1.11659417182909e-13,"AP-3","SMED30025824"
"SMED30005855.1",4.20157117987022e-18,-0.809650531527866,0.143,0.265,1.1623226511993e-13,"AP-3","SMED30005855"
"SMED30034265",6.27017145577241e-18,-0.266629106276092,0.288,0.412,1.73458023152488e-13,"AP-3","SMED30034265"
"SMED30032227",7.97155014992593e-18,0.297046724445604,0.431,0.315,2.20524963347551e-13,"AP-3","SMED30032227"
"SMED30029524",8.0161069186649e-18,0.270742759174422,0.467,0.347,2.21757581797946e-13,"AP-3","SMED30029524"
"SMED30014469.1",8.96479265149605e-18,0.266831147839637,0.896,0.854,2.48002023910987e-13,"AP-3","SMED30014469"
"SMED30010767",9.38066226722322e-18,0.272569422167795,0.368,0.252,2.59506640960463e-13,"AP-3","SMED30010767"
"SMED30008309.1",9.85823172342303e-18,0.397235072199462,0.537,0.433,2.72718122396775e-13,"AP-3","SMED30008309"
"SMED30031283",1.69338241023894e-17,0.351259862881903,0.457,0.35,4.684573099685e-13,"AP-3","SMED30031283"
"SMED30018896",1.89423882642146e-17,0.303129219987767,0.548,0.435,5.24022228941232e-13,"AP-3","SMED30018896"
"SMED30014100",1.95874114629727e-17,0.304695909829518,0.427,0.314,5.41866150711677e-13,"AP-3","SMED30014100"
